,id_aportacion,fecha_aportacion,no_aportacion,detalle_aportacion,monto_aportacion,ci_persona
0,b30927cb67b04fa89999ab567bc958c6,2021-04-26,36,3P5BMbGT9Pby3QReBbczOWz8a,619,4332235092
1,770f9f7bc26f4a288251d092183805ae,2022-11-25,89,bO0f2bM57xfli77UrBJQVRrFu,917,1597290294
2,8d45bccd62594ce8b51454463fc5ddac,2020-11-14,08,W2I7ec1W1rWPNlQ9dASnGe70E,333,4331881561
3,578fc968cedf4e58a04fa43ec971a3b5,2020-11-06,99,mu9zUMWSLDuxTyaMGTitO8KGF,280,1353172131
4,4b8ee308c2314359bdaf2e501c85ab45,2020-11-09,81,7iD9pz8hnZ9EOBmdAk0RNvCWw,868,0833768787
5,5cac57b8ce6040f1bc08d93dee35089b,2021-04-02,40,TunprFiNuw9HZSy6Fu6slOhmH,935,0168983794
6,5834e71c4ab44294ad1e3cb7c2cb0774,2020-03-14,24,4xnz6SlusZQUFog87PpF5gfqo,362,1530124627
7,3e39851c9cbe475fba675aa93ef7e026,2022-07-29,36,vCupUARRO24IYxSuzHauYitB0,298,9407225115
8,efde248eed644753bb4171e03b780b75,2022-03-02,12,tBLgCKo1BcNxm1aE68Ss4sdbz,597,9230084264
9,c42ae771909b4142853a1ef00386f22a,2022-05-24,83,6GN7dyurgSRIKLguIAbyghrIT,282,2590853287
10,0a6e8683e388478a887c3f097bb3422a,2020-04-17,88,gsILeK3PacU90hGGxoly3kvOY,141,4122513999
11,87bbb0c3bdf1425397e84eccd17458ed,2021-11-01,00,OkuanuQrwstq8teUWPOwBLclc,127,2582205180
12,7c11178643884e6c8413c153e38a3191,2021-11-19,07,TkODunK40nEiCVjygK5hDGbsj,665,7129783771
13,d819b1924b7147cab7901a47b80de5f7,2022-05-13,53,uba2IvWtOmPJtFay4I3lgw3CU,424,4617962649
14,f488115062cf402fb5f0b11a3babbc5f,2022-07-16,14,0dsfbO55URpYVFkzoXIeU5yWO,155,6985548777
15,9b8f82c5bc924b30a75ce79d11622e4b,2022-05-20,12,7KfaIRguJv9Y74fjYTMixm2ej,151,8330759611
16,ca47c032a5ac4e66b0fd6f2b9dd4d7a5,2022-09-09,24,TblULh66HPQzP7IAUK8Wddscj,635,3207527154
17,be221a1102be4845ae99eb2cdd444d20,2020-06-02,95,H20j1OlE4Zi49vy5ouOxcLItw,892,5968409115
18,6e000d6761dc44a08ee268bc4001b395,2021-06-14,95,y0G26PuDwiSrMC9HaAzmMlfuc,851,6749715662
19,2ca62dc0d844436f90966a2b72b5e0e0,2021-11-01,66,sqJPt9E84LPmOjDNWQlnqOu5Y,584,6311414511
20,dcd8ad24ebd44189aa34ae845f9de334,2021-04-21,27,W7pBsOuzZ7tjQZuAqk40gjXZ6,762,1676125196
21,a71d5d42e67042858c4f864dc3f47fa6,2021-09-26,65,XYeMLYkDnbKQNTouW6jPcDlCt,945,3933158133
22,a82016de19b0473ea3018cf30f5c3461,2021-03-22,37,w6kANsp2snj8dihBAt3Usdue8,491,1706755730
23,7dc7a4c5961540969b705ac52f406a6d,2020-12-04,77,FcSbeSSqf5nq66RPMOOt0Sxie,474,5137752847
24,5135b2f8074b475983f298c7a838c8d4,2021-12-29,08,Ic9W8fs7WhHzBxbnGJ7TcBsZp,121,6560859480
25,8430ecc0de5d434dbc6a758ad7783756,2021-10-18,13,VU93UeifWPsLjrN13L9ioFmoQ,976,5410819900
26,eba8dff93d994bb29c9d026aea308b8c,2022-10-31,17,AyQF5aEfezmUK0TkZmPrLUQvE,411,1089011757
27,f7f3de9965d541ff879dd2a8e9337040,2022-03-06,27,xFmRjCNBnojYuS1WLGGnXkmjk,908,2973936081
28,97b3c2baa8704033a1c902bfa99ee5e5,2020-03-29,26,g2p9NucL8wiq96bOF2WoSZEyY,204,8009123317
29,0b5130cabf434ff99066864ebfeda9f5,2020-07-23,25,iv1W9C7BbjH0ADkvk2YKYtuTl,511,3635662763
30,cf74f7b873c647278960d99af89ebd47,2020-07-05,00,p4pJeQNMrF89otkpKqYnTabm3,341,3766510536
31,e35585d4d34d4f0794d402c62470a8d6,2022-08-08,43,8Vl8jx7QeTzr92hqUJo4tsGxP,833,7500706927
32,1c5ce5ea3e8d48f49981b2b6641a3a1b,2020-03-02,94,RXCj2v5tLVKVV0KdhYgZPoxS6,808,4969358513
33,0d465571fc0c497585dceb5f413c445b,2021-06-20,61,cdZ8fsrwkCHqqmO0MthPgxjJN,171,1000312110
34,ee79762e7d4f4e8d96fa6cfa51fa1b90,2021-08-30,82,okHfBkRIiJXslh76qgfZu4jv2,572,8258349219
35,47ed013f06fe4150954abd338bb95964,2022-07-11,33,0YAfo58UoKAbP3evzpKZgoCsW,855,7595712345
36,2cc6593f614a4441a49af9aa2dc519fb,2021-11-15,22,tiQ5H61ByWRU55KP7fgCTGorY,670,4952408800
37,1909890496054cfb8a5853cd089ad724,2022-09-17,38,fmdicvbyq2wkNnOICOgEb9iUH,826,1757637202
38,10a7034019704274ab2dd3f49dd6400a,2021-07-21,59,IApziwMxyxni0FPTncC7Iz5GK,056,3866932599
39,a00f7e40200442e6b1a9e5d8a1edf9fd,2021-12-16,37,eHyXi67BeJKjNFeSF9Rjy3B0g,543,3835328846
40,84c87979c7174dcdb2c371892ca87442,2020-09-15,52,HWXcfr4UNEBLAAtnax6OuJgB1,264,3218245755
41,6e9d09b5e1a54bd88cf3015408acec5a,2021-01-05,80,uUsh1SeOJEcaLDKSqI7ZfmM8D,737,2367441287
42,b8becc784a2c467089d26417938c5027,2020-10-28,37,4cYyyFMzCZ3D2kORrM8aOMhtC,355,7697785864
43,91ab10f92cc64ac79227919a65331444,2021-07-24,64,OiW81nizjZPHiHC59vTxW5woo,198,1293146618
44,386ae0694df24185b9d62c5774b29b58,2022-10-11,84,WL4sNMcnRB9bPRiqJkxq5GmrI,470,2866723127
45,ab5d2410d3ec4c1b84ac2f6747762510,2022-10-24,20,R601HOQOClfSDTyGAiT0FTzFo,628,5652466853
46,06818a9092c944ef9a66d940ce66eb27,2020-03-31,18,tIYxvL7vmznqKBN6vMy84jboT,413,9483041282
47,8dbe0f1a032b477e9a13b989e2f8a179,2022-05-24,09,SngD2TZVPKC5bf4J4BSj7JC1u,310,9631260635
48,5ea02f4ffb4143e7b7c4746c07ff2703,2022-10-20,97,hdrqxlc9rg6LOihNTBmIZ7C9G,752,7919433381
49,653ca54703e64ac2889b8d4cc717f97e,2021-06-06,85,4BDRFR7Sh7OpaOhv3sCoH6SMT,808,5567156024
50,63841112d9ef4ac7beadf7e485014901,2022-03-12,39,iZ7AVeubTwyaiCDLdgTAsNOZv,602,9276785484
51,582cde0d1bf24aada3d37e682908e42f,2021-12-28,11,6xtMyodKzmSd6aoJ6aA7OBXYU,060,1800097875
52,40c31bbd822349379f83dd9d1546e5e4,2022-03-01,29,jtudFA29PwwsaF60Kk0u16DgN,023,0988347109
53,6098d843b17e466b99bb7770ad979a81,2022-08-18,37,fN1ONj95XocpXXfpYJPNUjcUq,153,5995437783
54,37689e8c6ad7430fa5edcd980356528f,2020-10-19,15,cEBun1mzh68x1pyyYaEnV2dAc,754,8294533173
55,51b4f025962f49e99fbfeaa08120a625,2020-06-25,31,Lw4snn6SW2z3GLP16DKX8K9lX,392,2558192163
56,15acc07b3542453ba3ae9f5b1eaeffc1,2020-07-04,32,pmP0b2kaPfW4goMhnqLTjJ7LN,007,9833556852
57,98558ed30c854bdcaffd77535e2ffe6c,2021-08-25,43,A4sFwnkWYTpMk9fQk8uslRWws,291,2285048640
58,20375a0f12d34fd1ab6ba1332855a8a1,2022-09-10,91,RMoQul9eqLkSHm1cjzrppiYct,092,9995364271
59,8d265fda71734accbbf4e8d6dc23b4e2,2021-03-17,26,2WHLx73pskHQhaJ4Wv7t3lKnh,386,9426865937
60,81deb4b1f93840e0b17b497faf01a41e,2021-11-30,74,RUx0p10g1NDCSrvAhghpauPkX,863,4604319948
61,3d6e05890ae44645946cd2ea49c64cd0,2021-12-10,15,GMXSAPV0VUYtVNq3XMXFvW5jb,007,5328583935
62,20442d386df547e8b46805219503bb36,2020-06-17,18,nE2PS0yODOL89mUCpOpy4IV4q,180,2157363384
63,35661c392e6f4251879d1aef74043621,2021-03-28,20,lcQcWJKPjux9xH3fi9qulxqmC,096,0749823083
64,9c7361c599d045ddb380fdc0c0f3829e,2020-11-15,78,rnX3UOmWLXmaEHEq3pCjHmCTp,402,7029892664
65,2b6a0fbd5b35445cbfc48bb908cff541,2020-09-01,99,kZTSMULCwoAwFbapN93i8SCNS,661,2765809614
66,afeb603c962b45b19fcc338df179c1a3,2020-12-15,95,Fc5CtcKKUqIwCWrv5ThhMzjur,117,6070638478
67,01b0ddf1bef34f69b644ab8666b019e8,2021-09-15,67,I13F62jXujvdwlNnZbv5ZK8xr,753,8615710278
68,9848b488f29244aab629fbcaf7cdbc13,2021-09-23,26,VP1EZEb1sLEbwUDAQMIHa2rK1,595,1547295279
69,f51c695327994756bea2a65144016631,2021-11-12,99,7Dfn1A5Bc7Az8eMNUwkrnOEBW,716,3903959537
70,ec771917c388441cb57c0f5ba483cadf,2021-01-25,76,ukRpfvmPXhSPYuI741WZXDTdz,200,8460018558
71,707ca7f56a7344b0ad19612b623e5ac2,2021-09-08,57,MC9OhmR5ue3ob4YrZ1Ums62Ly,733,8597734385
72,597ad7775c314e5da4582e3b185330d6,2022-01-15,69,WxNGCzdBbRGhx9nKp1tXs3uj0,779,7877731803
73,8250a297226c44958d4d969d2a6ddb72,2022-07-27,56,kffByutp2EzXLbESstlm4wPt7,468,2021054294
74,2d5f90708f9e40b0ac81d0d229f43564,2022-04-03,47,zmfkBRIgga7cE4EPAr2WDZxra,328,9982869117
75,7aa82c9c2fa046c1b535636d77cfc102,2022-04-12,66,F6VExZNfazZArJ2oyDwJfl81G,315,7858666071
76,51da31516e4f4b3093484aca4eed2ef3,2022-11-04,02,nyaiQVTohCQsaFmlCZ5yclFV4,036,0356110171
77,bc866eba99ab4e3880cf8070bd4d4fb7,2022-04-30,36,96tv2kTOtaetdBfstVGwqTPlC,018,8860139966
78,dc5b26da9e4b453081e042ef779cb536,2022-04-06,24,J0Rv9iXvTMYu1OJ3Wbb4ZPqFm,587,5817040245
79,11fd2f15415a4d8d823632c04ad82c16,2021-05-09,67,YTTyY8yJ7RkHwOyD8lMAMHcvJ,527,0611877776
80,360e20f8aaf94fc28c945fa7290dd22b,2020-05-22,47,0kFIqEEC4nVerDYJlVSfj4B1Q,004,7188219351
81,4f937b9117c747a2a42573add0a37084,2020-06-29,35,7VcXPPwWOr4vIbvNam2SZqrEu,063,6037335455
82,4197b58636224af39048d1eb3106afbe,2022-04-30,72,qQwavnE0gO0pwgtXbF4yeJ4hJ,806,1010004047
83,d466988a0a7a4f7cac1f81ad3bf316af,2022-02-09,70,Lfik6yDsUfpdzxcR2QYN68w2I,617,7845561267
84,30073f4e4d734aca81414bc8a411796e,2021-01-25,49,amQvBsoVfPLSZ9DoFPgwJj7A2,544,7401129747
85,c99c3244c9b84eff8cbae239943e9f59,2021-10-20,32,PkUWbs3SseR6GT2z2VvlvhRjX,871,0174386151
86,3dfae9003dd74afca346651658f91d36,2020-10-09,64,41qK1xREIE5obSiSO8NwcfAu4,226,5848254673
87,ac524e4a7db24ef8bcda21697d66fa58,2020-02-25,62,tE0jrWXIYbHAjFxHQc0pOYjYV,281,6133235608
88,868c5123b40c4debbea5be7a85677e8c,2021-02-23,39,hP8WuBry5NeYoKTPS85unb8Vx,385,9198529559
89,75b668691a1a4a30a082792c44b339ac,2021-06-17,99,1A6ccdm7PQL9lGOMVn7qQ809r,655,2057522516
90,31ff2c01658d4000b41718ee07b79bf7,2020-03-15,19,sMuVZYFbCpMd1E3X39fC3E3T1,766,4374665644
91,9c330a90dc9e4c37abf9994fbd75f5f0,2020-05-11,52,YBNGviGwSP5s85wPq9XHRWyrF,915,7775556864
92,8f98d513da47487e9058564a6852261c,2022-01-02,44,tNVp70AWKGIr91UyOeU1cwv9T,488,6590429854
93,4e5b6a3208864600b139743975ffb473,2022-01-13,10,k2WQjEWzH4Pz85n9Uhsnk8FuG,202,7300005399
94,09201e937364418f8bfa87c211b43b59,2020-01-24,78,mn2DDpD4MV7sMoGqEmCBuujgy,514,1743323808
95,29522b9f60924cf6a527337f2596393c,2021-02-03,81,0xNKG40KguKIaNAJDbMQS4uR0,417,5346587029
96,3334559482054533b0b15e4bd5feeede,2021-07-03,52,akRfVzx6zH8kccJRDKlxEb6Lj,373,2324811654
97,2bd8617a73f145e686788c0721b74d40,2022-01-17,24,tR8dv8kbMqnw9W8s1UelnhUmk,097,9957733009
98,b67cb75e391c4ad88defadebcf26562a,2022-04-21,47,aNdlJ2aOcIzJcpSaalr6hENOL,604,5965781461
99,5271e5413bba4a279fa30dd3d61a29dc,2022-08-09,24,h8GFKjtd8sf61Oafkjh9iORS2,353,6768106388
100,6d374e5061a5493f8ceae3193e20f236,2021-11-22,99,uIdRcUO4DBDkUdF0SdB9rPGzm,110,8269940504
101,b2690d1b08a54b339fb7ab4c5ca21cd0,2021-12-06,05,vwsjM5CSXUHqYlIAgbppcCJGE,471,7466676697
102,d4b20b8b03ac45c88042eaaf333c5541,2022-01-27,26,wEZQK97AMCElGTuauLBeahCo2,335,9124438194
103,74b68c5050af4c8fb560dc2961492c5e,2022-08-20,14,H1MfPe1MU1LSwPq3bjrvkGpO6,260,9150573785
104,f066661ebb174b2b86b2214697a13df5,2020-04-08,76,jrq3hxuXWUG5IDAHlahdl714W,335,6615552606
105,7f74008c2d694cc58e652f6fc4fa1aca,2020-12-14,14,FqQhi5hp4dlYcoSYRz1R6wJoU,589,2329172241
106,4e72aeea0794413d8d218cb43a8ea362,2020-10-08,17,RvJ8EApP427MBvSEwlRBET57p,218,6458657140
107,aded9bdf227849fca36e656374bdd81e,2021-04-20,10,3vmz5z0F1STGOy7oJ6SUl1PXA,645,3475029236
108,8fbca160ce104ffd969205bf444dc50e,2022-02-07,86,wZT5R4p4DjPmYarEwKHPlczeJ,603,1034104164
109,427281ec981f4d02af63eff13787f383,2021-12-16,46,oFyl54qO7x4gMBwq76jExdTY3,609,4646447294
110,971519de640140cabce4c423cd893cc5,2021-11-07,94,CPqJ5fEhloVQzNaWQO7fYIRbg,845,5169154919
111,3cbe0011893e45c8abf847dcfd4a8b12,2020-06-09,17,eyAynyrN4SocVFVv8H2DE7rEV,417,9607892133
112,1f129bc959074d0d9eaecc7fd3ef94c1,2022-01-15,38,bXaOCjBCXFfqNXvcPl6NZN5Oq,175,3267117043
113,5ea403a00efa40fcb611dd0ceb28aed9,2021-09-05,07,ces4c18CCYCSxPvu9IANDcVB3,617,6951730084
114,37f1421fb59e4111a3326e63bdcdf5c5,2021-04-27,34,rfo0PZux9SfMttsSyk4bYLFnc,780,3466590177
115,5e419ae9fc45451f8d415b576c4d2cc9,2021-08-15,67,nd5f333VUqSqmEYOZHp1KatD2,590,4703264809
116,7c2dfaac51fc4ee1ac8c8e2cc7ddbbb5,2021-11-16,29,7Qrl9en4qm6Dbyru724MqAXGj,544,3034065661
117,17687efe8de6407987ab02e8cc5bc732,2020-02-20,60,Qceh4R9VtkYqcPCgQXc21aAGJ,021,1078924527
118,da8ad8ee7056468d8ed02d8af4d61d1b,2020-12-29,32,A26pvWv25worisXW9Q9fiKLMf,392,7177068882
