,ci_hijo,nombre_hijo,edad_hijo,ci_persona
0,5367165803,Matthew Morgan,6,3312325407
1,3866693736,Joshua Cuevas,6,6919021198
2,0947316946,Stephanie Lane,7,9225440770
3,3109328327,Melissa Chen,7,3174232114
4,7012347573,Sarah Roberts,4,4325561795
5,2248828113,Brad Orozco,8,2368644675
6,6402474201,Nathan Wade,2,3571233076
7,4810493828,Glen Mendoza MD,6,2004700534
8,7942088841,Matthew Reeves,1,2799370965
9,9032551561,Sara Key,2,4662490199
10,9635107258,Christian Mason,4,7323578916
11,7063888792,Jason Thompson,9,5236597610
12,8662856984,Jennifer Powers,7,6482097790
13,7891776215,Natalie Harvey,0,9246096496
14,1261249605,Cheryl Gray,1,2991439849
15,5539182417,Sarah Lee,5,0966117758
16,1811187633,Patrick Greer,5,4560593155
17,2015551193,Colton Moore,4,8553260529
18,4426458991,Kevin Figueroa,1,1888286546
19,9048062695,Mr. Samuel White,6,2772353934
20,9306867184,Eric Weber,1,9555074601
21,6859497318,Sydney Johnson,4,6840970054
22,6177613596,Brittany Rodriguez,6,4860995768
23,6838851246,Ashley Alvarez,2,0258579866
24,4624333397,Candace Gonzalez,4,6924099736
25,1076899944,Daniel Nelson,3,4256188532
26,8491427942,Eric Powell,1,2640334615
27,0742666087,Douglas Osborne,3,4215441124
28,6605850064,Tami Reeves,9,5364734838
29,8650256163,Chase Cook,7,8741203977
30,6175854405,Sierra Combs,0,5588376586
31,1832386708,Betty Wiley,5,2674038084
32,4337099358,Sarah Arroyo,8,1547650520
33,4811195997,Danielle Washington,4,7174686943
34,0486298318,Mary Wilson,7,0336081070
35,7451856396,Taylor Jones,1,9358306675
36,9053620051,Monica Chen,9,6628755222
37,9380977708,Nicholas Martinez,8,3094584216
38,0769955499,Kimberly Rangel,2,5902123030
39,4254200826,Judith Duke,2,6922255492
40,1751172538,Bruce Butler,4,2627452258
41,2855493100,Kylie Stone,9,3060412839
42,4234304242,Jack Blake,1,0019266959
43,0237120784,Mark Williams,4,5394321468
44,8274118778,Jason Jones,7,6659710444
45,9704287275,Denise Jones,5,4768403560
46,1687262134,Gregory Calderon,6,0455765777
47,2101765305,Michael Carter,1,6026653006
48,7996343841,Andrea Lynch,8,1809007421
49,9501147502,Regina Smith,5,9631381939
50,7584934862,Steven Brown,5,0625636695
51,6103566477,Samantha Henderson,8,1778211521
52,0376532170,Carolyn Jones,1,2609371398
53,6595286385,Eric Mason,1,0034444027
54,7713059584,Pamela Mitchell,9,7255235943
55,1112548270,Diana Barron,4,9015093087
56,1535161880,Ashley Mccullough,3,8711132300
57,4020395978,Tanya Ryan,9,1591103770
58,8407862642,Richard Hahn,7,3402424744
59,0695380788,Brett Hurley,5,9995601248
60,4572203680,Christina Hardin,4,9886879123
61,2687880839,Justin Pratt,9,4524401545
62,0219061074,Sarah Singh,2,9122050233
63,8259606035,Terry Logan,0,7689292672
64,2433196927,Adam Lee,7,4563860275
65,3540355047,Kimberly Vincent,3,7340591867
66,8647377154,Michael Dixon,0,7554099407
67,1205464709,Ann Garcia,3,8939223057
68,5445578936,Brian Dorsey,4,5984149846
69,2082441626,Richard Bennett,5,4629939023
70,9043467139,Rebekah Rivera,4,0217739433
71,4806968087,Matthew Cardenas,9,9031858445
72,0083795121,Mrs. Jessica Johnson MD,0,3153744605
73,3247452081,Melissa Garrett,9,5245769654
74,6621833697,Allison Wright,4,1167796240
75,6149095847,Erika Torres,8,0496555538
76,4645467462,Tabitha Green,1,2234918755
77,2179196878,Anthony Rodriguez,2,9336062401
78,4007638348,Adam Bryan,3,5200608197
79,4756379003,Cristian Goodman,2,0237450165
80,3673756568,Kristin Huynh,8,1809477151
81,9429099922,Eric Martinez,0,8085428356
82,3514360368,Joshua Schmidt,1,9688686436
83,8100165138,Tiffany James,7,2359317107
84,2723269913,Alexandra Hines,1,7880607885
85,5518369522,Lisa Allen,5,1205259790
86,9869220057,Arthur Sanders,2,3425017135
87,4828594085,Preston Nelson,4,1004591767
88,9326077486,Bobby Burns,8,4758639205
89,8504328111,Rhonda Dillon,4,5646610105
90,9100158047,Mr. Ronald Landry,2,1227472079
91,2540955955,Michael Weiss,7,5876842294
92,9790171942,Bobby Mendoza,6,3702045779
93,4553089206,Steven Mills,4,0905796269
94,3532023364,Diane Castro,9,4181314716
95,7215131906,Johnny Henderson,6,3269643288
96,0356523880,Christina Tucker,5,9020154138
97,1677846033,Jeanette Luna,1,2392241849
98,2623713920,Jessica Robinson,5,5718570768
99,9704310143,Debra Harrison,0,3992495729
100,6769573209,David Kelly,0,5133329616
101,6352698318,Frederick Morton,6,9383827423
102,7283854394,Jeffrey Miller,9,7801575522
103,9839721328,Tammy Riley,5,0279778626
104,7366708472,Chloe Bean,0,7338743995
105,8630829256,Gregory Garcia,1,1525949802
106,9219833832,Rachael Huang,1,9079677002
107,5171025453,Lisa Andersen,5,8659172219
108,0289886094,Mr. James Miller,3,7138906158
109,3277941679,Jacqueline Hawkins,8,4482699894
110,6122919302,Angel Waters,4,0520049357
111,2139794715,Tammy Moore,2,7347516037
112,3728266594,Tiffany Simon,3,1253551494
113,9619052997,Judith Hall,5,5409883215
114,0814050104,Kristen Bridges,4,1151212982
115,4978910300,Susan Young,2,1063115648
116,7810849297,John Sexton,1,8052205514
117,8160746983,Haley Stewart,7,0241234269
118,4655613637,David Sanders,2,6891401191
119,0885200869,Stephen Smith,7,5068133885
120,8824835860,Laura Guzman,4,3896640690
121,4942100054,Kristin Johnson,7,9764086799
122,3311795599,Christine Stanton,3,3215088461
123,6796869435,Pamela Daniel,3,4345641938
124,2355011733,Jason Waters,6,1093897497
125,8992370597,Jeffrey Sherman,7,0560764148
126,3405241709,Christopher Taylor,6,3887175959
127,5204711937,Brian Downs,6,5196604797
128,5327400691,Kelly Moore,9,4229000620
129,3295764900,Susan Fernandez,1,3421227163
130,9154171200,James Torres,2,4023756594
131,6232242551,Roy Thompson,7,4153085930
132,7199203446,Craig Thompson,3,5320183987
133,7814679905,Daniel Vaughn,2,4266362040
134,5335576582,Crystal Odonnell,9,7394070508
135,3686124373,Daniel Johnson,3,4818706079
136,1582504718,Michael Reed,0,6364289649
137,2645855344,Brian Murillo,9,9691361072
138,7571083731,Samantha Hill,8,9323396813
139,0680490382,Lisa Oneal,7,9017307422
140,1460644385,Earl Smith,9,5971744726
141,9031613031,Elizabeth Buchanan,2,0054050030
142,6907096596,Erin Frazier,5,5385462965
143,7766315387,William Serrano,5,6485081403
144,6277170452,Sara Smith,8,9897658440
145,3885794893,Joseph Taylor,8,0800877605
146,7227069969,Sarah Miller,4,8764453407
147,7244235286,Kathryn Flores,2,7381871222
148,7808429643,Michael Hall,9,1685518774
149,2049563442,Stacy Wolfe,4,1256019548
150,6763188437,Robert Gibson,4,5829055055
151,3331009710,Denise Cardenas,5,0385070789
152,2847457981,Anna Acosta,6,1826304545
153,3206523661,Bradley Reed,5,1891888343
154,5822183846,Taylor Harris,9,4272588174
155,2746105411,Susan Schmidt,1,8710507682
156,1846922222,Nicole Landry,8,9215803377
157,3259652944,Elizabeth Lee,1,3949766796
158,4966229282,Mark Hayes,9,7750916332
159,5101993872,Christopher Carlson,8,7112275490
160,6886576544,Darren Romero,9,9766584438
161,9271653393,Jacob Garcia,8,0189422661
162,8591121815,Donna Bell,9,9810095737
163,8107468371,Susan Mclean,3,5543957479
164,5937119902,Jennifer Parker,8,9546169272
165,3442492714,Jacqueline Jones,8,5676783537
166,8591163387,Nathaniel Williams,9,2817940033
167,9915431216,Glenn Lopez,3,2267289110
168,0334774697,Lori Davis,9,8300578089
169,8259863444,Erin Willis,6,4570306868
170,1301653985,Christopher Reilly,7,5828121427
171,5425889285,Anna Adams,1,8402325376
172,1382595761,Breanna Brooks,7,8837042341
173,1127635442,Jeffrey Barry,3,7628886750
174,1016819894,Brittany Gilmore,7,1370221485
175,5317052928,Dale Jacobson,8,2286392830
176,9172586254,Regina Henry,6,7265633062
177,7623367576,James Vasquez,3,8356221865
178,1051204865,Jennifer Thomas,4,2194970731
179,5977625769,Ashley Harrison,0,5913118758
180,1364370105,Shaun Cuevas,9,9501025155
181,1120628229,Aaron Davis,0,1575643506
182,3342829060,John Bailey,7,4329252919
183,1399657675,Bobby Griffin,7,7149486219
184,5202273943,Christine Klein,3,1233550673
185,7849534030,Kristin Jimenez,3,7578914429
186,8317898565,Megan Johnson,3,3095291262
187,3464671771,Jacqueline Mckay,7,9916451298
188,0051960305,Karla Lucas,3,9374844977
189,7864089824,Andrea Jones,6,8981787369
190,6814459977,Janice Lopez,0,7586220666
191,5560788421,Christina Johnson,0,8585523161
192,6616501894,Sarah Ellison,9,8584676248
193,8628872564,Austin Allen,1,0415502029
194,2685845206,Allison Hickman,6,0594478578
195,6293469497,Collin Brooks,5,6694244008
196,2481598392,Ann Lopez,3,7842307032
197,0014132083,Travis Williams,5,2612898046
198,5443671613,Lance Lowe,8,3605383222
199,1055062103,Shannon Johnson,2,6824707227
200,4564011894,Donald Wallace,9,1094579624
201,5671442032,Emily Williams,6,3860381704
202,9281524080,John George,9,1115734013
203,8257803557,Jeremy Hale,2,4140906668
204,7283459741,John Owens,3,4655581696
205,2119614755,Kathryn Blankenship,6,7825457047
206,6151517299,Jessica Myers,2,7312887701
207,2419176346,Jordan Vega,8,7741022360
208,6445976294,Benjamin Matthews,2,8621920040
209,8884363989,Daniel Sanchez,8,8707593370
210,9281354797,Melissa Hughes,2,4650196432
211,2671676726,Christopher Chandler,8,1944613561
212,3406670374,Michael Wood,0,9781911819
213,5137196798,Angela Middleton,2,2151981057
214,8338241709,Marisa Sherman,0,2989645607
215,2901180865,Colton Lewis,5,5822292869
216,5944848515,Nathan Evans,9,4479648734
217,3453530053,Francisco Campbell,0,4536049921
218,6549340638,William Davis,7,0763930742
219,9537497882,Haley Murray,9,8493905381
220,9625664216,Bryan Guzman,0,5188142325
221,1747536163,Phillip Martin,4,4046808130
222,2283874595,Anthony King,7,0875634567
223,8198775335,Francisco Perez,0,5416975447
224,7448414882,Marcia Prince,4,4836860044
225,2410503900,Meagan Perry,5,0931851787
226,1138326068,Aaron Thomas,0,2120051533
227,1977027902,Joseph Hall,8,2058650257
228,5893763451,Greg Green,6,1574745758
229,1568274595,Gregory Moore,2,2800629712
230,4583122330,Samantha Davis,7,4361074783
231,7470154461,Meredith Rodriguez,7,5065845301
232,3326017095,Lindsay Schneider,6,5082681088
233,4164082137,Karen Perez,0,5774584843
234,9328500276,David Rivas,8,4486180252
235,3471247437,Carl Golden,8,7635449101
236,1206976005,James Waters,3,8671453343
237,2541952441,Amy Gonzalez,2,0340377661
238,2498802501,Adam Manning,2,2224855379
239,5428815254,Derrick Hall,5,9030071764
240,1991576337,Jordan Bailey,7,3888180940
241,3862607406,Amanda Daniels,0,9577891362
242,2479648352,Madeline Phelps,9,4985437417
243,0038465202,Edwin Austin,3,9334855577
244,5432182818,Nathan Nelson,4,3544606747
245,6245770194,Candice Flores,2,9711938512
246,4274231007,Dylan Arellano,8,6159871783
247,5575513355,Melissa Oneal,5,6152763324
248,2069582565,Jennifer Colon,5,1966424995
249,9294490077,Dalton Jacobs,5,7169804971
250,7429554282,Brandon Baker,3,3674736480
251,5692059152,Christina Elliott,3,5105406984
252,7951073245,Melissa Murphy,1,8923300714
253,8996269399,Nancy Potts,9,5837338285
254,3884317748,Travis Davis,7,1054391760
255,2831651455,Michele Nelson,1,3986833090
256,9635689017,Nicholas Barton,8,1089602502
257,1110132631,Morgan Lyons,8,9453511190
258,3437839016,Phillip Rivera,6,1422848608
259,1047751137,Savannah Wilson,2,4095618974
260,4181883966,Mathew Shaffer,8,0571105021
261,7043028801,Joshua Soto,7,3345655408
262,9558519301,William Johnson,8,4917638676
263,7623562818,Michael Gonzalez,8,8978704075
264,3461802041,Sandra Ryan,7,9883363465
265,4211826637,Bobby Taylor,2,7382331333
266,8301900420,Jamie Robinson,7,3763359779
267,1423151030,Zachary Dorsey,7,6744060139
268,6340896413,Elizabeth Flores,0,3673623603
269,6022448751,Ricky King,4,9249898163
270,2727786549,Brandon Martinez,0,0602411484
271,4299685453,Lance Schwartz,3,8930415160
272,5056683804,Carol Santos,7,0928303601
273,9307773584,Laura Frost,1,9561422403
274,2953330131,Mrs. Kaitlin Gutierrez,2,4969243523
275,7983536649,Jonathan Kent,5,1422944658
276,1095680757,Lisa Wells,8,2067582487
277,9154840089,Michael Howard,3,6579365059
278,0386447634,Alicia Copeland,3,6157357748
279,2773479264,Larry Richards MD,8,3219384038
280,3558929379,Lauren Weaver,3,7400695446
281,1857060939,Shannon Hughes,2,3097398730
282,9260860131,Becky Holland,4,8878838614
283,6302832172,Mackenzie Reynolds,5,4944989666
284,8321131936,Ryan Brock,0,7990639057
285,2922990441,Edward Paul,7,5674569114
286,9123663947,Dr. Carlos Smith DDS,0,5294647742
287,3463913389,Amy Moses,4,0622827636
288,8032467367,Kelly Stein,5,4178295457
289,3234032545,Dennis Solis,4,1503817005
290,2435190125,Ashley Simmons,4,2238881950
291,4846176915,Randy Mcmillan,5,1501083445
292,0303688542,Holly Hogan,9,4355023737
293,6516801265,Kayla Crawford,2,3573469672
294,7472301760,Nicholas Smith,6,0344543488
295,0165982628,Travis Watts,7,7254579963
296,0143870102,Christian Gonzalez,7,6472122438
297,1968705975,Natalie Hall,3,6156009455
