,ci_persona,nombre_persona,tel_persona,genero_persona,fecha_nac_persona,correo_persona,direccion_persona
0,6142713608,Tammy Parks,6395829112,Hombre,2005-06-10,tammy_parks@fakemail.com,LwBplWKMDGNmnBPBFB2s
1,8251780658,Kenneth Wells,0620001150,Mujer,2005-04-04,kenneth_wells@fakemail.com,CUdSuTcmZMeRWCxOLazu
2,5641926654,Mario Neal,0609647197,Mujer,1984-11-01,mario.neal@fakemail.com,D7KRUOMn0rRQ1eJuu8H3
3,9376265330,Paul Duncan,9315592597,Mujer,2005-12-14,paul.duncan@fakemail.com,DOnHKE576SCYajcpAg6Y
4,1002355452,Lawrence Murphy,6554687959,Hombre,1993-02-14,lawrence.murphy@fakemail.com,fKpZZoaeaYeCUtgJoTL6
5,6261449971,Dennis Cherry,0158700205,Mujer,1999-10-27,dennis.cherry@fakemail.com,et8qFiziNJXKRN6jLEim
6,0521796199,Emily Mitchell,8333270043,Hombre,1990-10-17,emily_mitchell@fakemail.com,aOOckGiIXO2Hfz2ehoAT
7,3252211602,Michael Callahan,2061091246,Mujer,1982-05-27,michael_callahan@fakemail.com,ktTL1Exid4Hg4ab9M4mj
8,3736272858,Michael Robinson,8070550565,Mujer,1994-01-31,michael.robinson@fakemail.com,PsfumUz7Tsd7xAOjNjio
9,9148759081,Richard Davis,9297997748,Hombre,1984-02-11,richard_davis@fakemail.com,p87BYNJo6zlEO1qQjJPQ
10,7306960522,David Smith,2664377539,Hombre,1997-03-24,david_smith@fakemail.com,iOULXQXZ2EL99MC5NGF3
11,6221210728,Andre Torres,3743013341,Mujer,2004-06-01,andre.torres@fakemail.com,wn6YaK3WlUg8O05Rmfy6
12,1028588623,Wayne Willis,6191491337,Hombre,1980-08-17,wayne_willis@fakemail.com,Mux5Vy7Yrai7QYDDna5G
13,5133712345,Michael Clarke,6735671148,Hombre,1981-05-26,michael_clarke@fakemail.com,f8FgNRyLCFBqXBiKtkaI
14,7616754836,Taylor Skinner,8736707428,Mujer,1986-01-16,taylor.skinner@fakemail.com,jhGNZGh1AyQmdh3h16zr
15,5814621129,Donald Washington,2266802294,Hombre,1988-05-06,donald_washington@fakemail.com,6wPM3RHgsFXkwHiUgjpI
16,0225142422,Mr. Joseph Wilson Jr.,4240695558,Mujer,1993-04-18,mr._joseph@fakemail.com,bx81ZBNR4mVWSYbDugKW
17,4678732475,Angela Hess,0262097055,Mujer,1987-05-25,angela.hess@fakemail.com,YmyvKglXbnQVqfcGoJJN
18,5289500082,Cody Rodriguez,0620980936,Mujer,1998-07-07,cody.rodriguez@fakemail.com,DVmWRPEOII4m6uSbgiHA
19,8872951572,Jeffrey Figueroa,8683226510,Hombre,1988-12-26,jeffrey.figueroa@fakemail.com,FGFKRzEjm1VA7vSAZkny
20,5780102839,Kathryn Smith,3619876490,Hombre,1997-07-21,kathryn_smith@fakemail.com,XK0z2Sc6kcq44EiCYxjR
21,7033105915,Lauren Peck,5946568170,Mujer,1985-06-16,lauren_peck@fakemail.com,UvwKhy9Jg6vBnLPq0uZR
22,8003400787,Travis Anderson,0423604237,Mujer,1998-01-02,travis_anderson@fakemail.com,P5IHj9Bas4Z6cQszZuDo
23,7559713484,Angela Donaldson,9333533129,Mujer,1987-09-26,angela.donaldson@fakemail.com,hPKNk0gOfsWHQpnnCRGO
24,4579773613,Harry Norton,6406274996,Hombre,1993-01-21,harry.norton@fakemail.com,ZkR1X02nBfljGKK2TnN7
25,0383864882,Alexandra Edwards,2085953038,Hombre,1980-04-13,alexandra_edwards@fakemail.com,JnEGIP9ODEJTW1LtNXoM
26,9687586566,Amanda Payne,2458906402,Mujer,1987-07-03,amanda_payne@fakemail.com,Y17pu2XiHgBnSil5PjfM
27,0509733067,John Carter,6315982947,Hombre,1985-05-01,john.carter@fakemail.com,W26ev7klRt72nW7KSeEs
28,0473156633,Scott Bond,2761575151,Mujer,1997-08-24,scott_bond@fakemail.com,605rZZj9pqU4dTDQ5bLK
29,2312447569,Kenneth Graham,0804005658,Hombre,1992-07-10,kenneth_graham@fakemail.com,gnJ8PxKBNkZge29YaRbR
30,8718216252,Anthony Griffin,5253001874,Mujer,2000-01-04,anthony_griffin@fakemail.com,Qs6fdNrs5GtVU9nE5gVe
31,0261911184,Christopher Moreno,8004872309,Hombre,1994-04-07,christopher_moreno@fakemail.com,6G7lbVmsBK4anr7EYRck
32,0656356615,Christine Howell,8511129490,Hombre,2000-10-23,christine_howell@fakemail.com,HAef5K2QVWy0ldeIRzF9
33,9835905322,Molly Martinez,5896332099,Mujer,1982-04-24,molly_martinez@fakemail.com,oBv1EoJN8bzdypSR3rB5
34,3968078680,Shelia Morrow,5129849377,Mujer,1994-11-14,shelia_morrow@fakemail.com,SURNnUjDsrWEsy5NrNHA
35,5708689531,Kelly Anderson,8785549818,Mujer,2003-04-26,kelly_anderson@fakemail.com,AQAAD2XT2ofgOpxXgH7u
